TEAM_ID,TEAM_ABBREVIATION,SEASON,SEASON_TYPE,GAMES_PLAYED,WINS,LOSSES,POINTS_SCORED,POINTS_CONCEDED
1610612754,IND,2019-20,Playoffs,4,0,4,403,445
1610612754,IND,2019-20,Regular Season,73,45,28,7989,7846
1610612754,IND,2020-21,Regular Season,72,34,38,8302,8305
1610612754,IND,2021-22,Regular Season,82,25,57,9140,9425
1610612755,PHI,2015-16,Regular Season,82,10,72,7988,8827
1610612755,PHI,2016-17,Regular Season,82,28,54,8400,8867
1610612755,PHI,2017-18,Playoffs,10,5,5,1088,1049
1610612755,PHI,2017-18,Regular Season,82,52,30,9004,8635
1610612755,PHI,2018-19,Playoffs,12,7,5,1304,1268
1610612755,PHI,2018-19,Regular Season,82,51,31,9445,9224
1610612755,PHI,2019-20,Playoffs,4,0,4,402,449
1610612755,PHI,2019-20,Regular Season,73,43,30,8084,7910
1610612755,PHI,2020-21,Playoffs,12,7,5,1395,1305
1610612755,PHI,2020-21,Regular Season,72,49,23,8182,7780
1610612755,PHI,2021-22,Playoffs,12,6,6,1254,1250
1610612755,PHI,2021-22,Regular Season,82,51,31,9015,8801
1610612756,PHX,2015-16,Regular Season,82,23,59,8271,8817
1610612756,PHX,2016-17,Regular Season,82,24,58,8831,9293
1610612756,PHX,2017-18,Regular Season,82,21,61,8522,9290
1610612756,PHX,2018-19,Regular Season,82,19,63,8815,9581
1610612756,PHX,2019-20,Regular Season,73,34,39,8294,8278
1610612756,PHX,2020-21,Playoffs,22,14,8,2398,2300
1610612756,PHX,2020-21,Regular Season,72,51,21,8300,7881
1610612756,PHX,2021-22,Playoffs,13,7,6,1399,1412
1610612756,PHX,2021-22,Regular Season,82,64,18,9416,8801
1610612757,POR,2015-16,Playoffs,11,5,6,1155,1183
1610612757,POR,2015-16,Regular Season,82,44,38,8622,8554
1610612757,POR,2016-17,Playoffs,4,0,4,406,478
1610612757,POR,2016-17,Regular Season,82,41,41,8851,8894
1610612757,POR,2017-18,Playoffs,4,0,4,422,458
1610612757,POR,2017-18,Regular Season,82,49,33,8661,8448
1610612757,POR,2018-19,Playoffs,16,8,8,1755,1777
1610612757,POR,2018-19,Regular Season,82,53,29,9402,9058
1610612757,POR,2019-20,Playoffs,5,1,4,533,586
1610612757,POR,2019-20,Regular Season,74,35,39,8508,8593
1610612757,POR,2020-21,Playoffs,6,2,4,717,725
1610612757,POR,2020-21,Regular Season,72,42,30,8360,8231
1610612757,POR,2021-22,Regular Season,82,27,55,8711,9439
1610612758,SAC,2015-16,Regular Season,82,33,49,8740,8943
1610612758,SAC,2016-17,Regular Season,82,32,50,8430,8748
1610612758,SAC,2017-18,Regular Season,82,27,55,8104,8677
1610612758,SAC,2018-19,Regular Season,82,39,43,9363,9455
1610612758,SAC,2019-20,Regular Season,72,31,41,7927,8074
1610612758,SAC,2020-21,Regular Season,72,31,41,8189,8454
1610612758,SAC,2021-22,Regular Season,82,30,52,9045,9493
1610612759,SAS,2015-16,Playoffs,10,6,4,1020,929
1610612759,SAS,2015-16,Regular Season,82,67,15,8490,7618
1610612759,SAS,2016-17,Playoffs,16,8,8,1713,1697
1610612759,SAS,2016-17,Regular Season,82,61,21,8637,8047
1610612759,SAS,2017-18,Playoffs,5,1,4,484,528
1610612759,SAS,2017-18,Regular Season,82,47,35,8424,8187
1610612759,SAS,2018-19,Playoffs,7,3,4,723,736
1610612759,SAS,2018-19,Regular Season,82,48,34,9156,9018
1610612759,SAS,2019-20,Regular Season,71,32,39,8098,8177
1610612759,SAS,2020-21,Regular Season,72,33,39,7998,8123
1610612759,SAS,2021-22,Regular Season,82,34,48,9279,9269
1610612760,OKC,2015-16,Playoffs,18,11,7,1915,1820
1610612760,OKC,2015-16,Regular Season,82,55,27,9038,8441
1610612760,OKC,2016-17,Playoffs,5,1,4,521,564
1610612760,OKC,2016-17,Regular Season,82,47,35,8741,8679
1610612760,OKC,2017-18,Playoffs,6,2,4,607,633
1610612760,OKC,2017-18,Regular Season,82,48,34,8844,8564
1610612760,OKC,2018-19,Playoffs,5,1,4,526,555
1610612760,OKC,2018-19,Regular Season,82,49,33,9387,9108
1610612760,OKC,2019-20,Playoffs,7,3,4,728,773
1610612760,OKC,2019-20,Regular Season,72,44,28,7950,7807
1610612760,OKC,2020-21,Regular Season,72,22,50,7560,8326
1610612760,OKC,2021-22,Regular Season,82,24,58,8506,9170
1610612761,TOR,2015-16,Playoffs,20,10,10,1868,1953
1610612761,TOR,2015-16,Regular Season,82,56,26,8422,8053
1610612761,TOR,2016-17,Playoffs,10,4,6,967,1024
1610612761,TOR,2016-17,Regular Season,82,51,31,8762,8417
1610612761,TOR,2017-18,Playoffs,10,4,6,1073,1117
1610612761,TOR,2017-18,Regular Season,82,59,23,9156,8518
1610612761,TOR,2018-19,Playoffs,24,16,8,2558,2427
1610612761,TOR,2018-19,Regular Season,82,58,24,9384,8885
1610612761,TOR,2019-20,Playoffs,11,7,4,1203,1158
1610612761,TOR,2019-20,Regular Season,72,53,19,8118,7669
1610612761,TOR,2020-21,Regular Season,72,27,45,8011,8045
1610612761,TOR,2021-22,Playoffs,6,2,4,619,669
1610612761,TOR,2021-22,Regular Season,82,48,34,8970,8782
1610612762,UTA,2015-16,Regular Season,82,40,42,8010,7863
1610612762,UTA,2016-17,Playoffs,11,4,7,1076,1128
1610612762,UTA,2016-17,Regular Season,82,51,31,8258,7935
1610612762,UTA,2017-18,Playoffs,11,5,6,1126,1150
1610612762,UTA,2017-18,Regular Season,82,48,34,8540,8187
1610612762,UTA,2018-19,Playoffs,5,1,4,489,535
